Date,Close,Net,PerctChg,Open,Low,High,Volume,O-C,H-L,PercentCVol
2019-02-05 18:30,7402.08,0,0,7402.08,7402.08,7402.08,109534,0,0,-0.7168
2019-02-05 18:00,7402.08,0,0,7402.08,7402.08,7402.08,386811,0,0,0.5663
2019-02-05 17:30,7402.08,0,0,7402.08,7402.08,7402.08,246958,0,0,-0.2953
2019-02-05 17:00,7402.08,0,0,7402.08,7402.08,7402.08,350441,0,0,-0.9969
2019-02-05 16:30,7402.08,0.493,0.0001,7401.59,7401.59,7402.67,113586572,0.493,1.078,0.5184
2019-02-05 16:00,7401.59,-4.906,-0.0007,7406.5,7396.71,7408.69,74805216,-4.906,11.971,1.863
2019-02-05 15:30,7406.5,7.662,0.001,7398.84,7396.55,7407.3,26128719,7.662,10.75,0.2024
2019-02-05 15:00,7398.84,5.364,0.0007,7393.52,7390.92,7399.38,21729667,5.32,8.459,0.0057
2019-02-05 14:30,7393.47,12.068,0.0016,7381.41,7381.41,7398.64,21606818,12.064,17.233,0.0318
2019-02-05 14:00,7381.4,8.949,0.0012,7372.47,7370.52,7381.59,20941705,8.937,11.074,0.0794
2019-02-05 13:30,7372.45,9.354,0.0013,7363.19,7360.8,7372.45,19400480,9.266,11.659,-0.0989
2019-02-05 13:00,7363.1,-14.864,-0.002,7377.94,7360.6,7381.46,21528985,-14.844,20.862,-0.093
2019-02-05 12:30,7377.96,-15.335,-0.0021,7393.33,7373.75,7393.84,23737680,-15.361,20.096,-0.0426
2019-02-05 12:00,7393.3,7.202,0.001,7386.12,7383.26,7396.06,24793988,7.176,12.797,-0.1357
2019-02-05 11:30,7386.1,-17.553,-0.0024,7403.79,7384.51,7407.57,28687063,-17.692,23.056,-0.1299
2019-02-05 11:00,7403.65,8.092,0.0011,7395.46,7395.41,7407.6,32970247,8.195,12.19,-0.1546
2019-02-05 10:30,7395.56,7.809,0.0011,7387.45,7381.85,7397.35,38997480,8.109,15.495,-0.5206
2019-02-05 10:00,7387.75,40.213,0.0055,7356.34,7355.36,7395.05,81339809,31.409,39.688,10065.808
2019-02-04 20:30,7347.54,0,0,7347.54,7347.54,7347.54,8080,0,0,-0.8478
2019-02-04 20:00,7347.54,0,0,7347.54,7347.54,7347.54,53102,0,0,0.2725
2019-02-04 19:30,7347.54,0,0,7347.54,7347.54,7347.54,41732,0,0,-0.4821
