Date,Price,BuySignal,SellSignal,ExitSignal
2019-01-03 20:00:00,6463.5,,,
2019-01-03 20:30:00,6463.5,1,,
2019-01-04 10:00:00,6611.07,,,1
2019-01-04 10:30:00,6673.87,,,1
2019-01-04 11:00:00,6688.23,,,1
2019-01-04 11:30:00,6695.27,,,1
2019-01-04 12:00:00,6708.9,,,1
2019-01-04 12:30:00,6721.95,,,1
2019-01-04 13:00:00,6734.88,,,1
2019-01-04 13:30:00,6749.62,,,1
2019-01-04 14:00:00,6737.34,,,
2019-01-04 14:30:00,6747.02,,,
2019-01-04 15:00:00,6719.45,,,
2019-01-04 15:30:00,6716.06,,,
2019-01-04 16:00:00,6738.59,,,
2019-01-04 16:30:00,6738.86,,,
2019-01-04 17:00:00,6738.86,,1,
2019-01-04 17:30:00,6738.86,,,
2019-01-04 18:00:00,6738.86,1,,
2019-01-04 18:30:00,6738.86,,,
2019-01-04 19:00:00,6738.86,,,
2019-01-04 19:30:00,6738.86,,,
2019-01-04 20:00:00,6738.86,,,
2019-01-04 20:30:00,6738.86,,,
2019-01-07 10:00:00,6762.16,,,1
2019-01-07 10:30:00,6773.77,,,1
2019-01-07 11:00:00,6798.11,,,1
2019-01-07 11:30:00,6792.73,,,1
2019-01-07 12:00:00,6841.12,,,1
2019-01-07 12:30:00,6840.94,,,1
2019-01-07 13:00:00,6843.91,,,1
2019-01-07 13:30:00,6848.27,,,1
2019-01-07 14:00:00,6831.1,,,1
2019-01-07 14:30:00,6822.32,,,
2019-01-07 15:00:00,6806.17,,,
2019-01-07 15:30:00,6836.28,,,
2019-01-07 16:00:00,6821.38,,1,
2019-01-07 16:30:00,6823.47,,,
2019-01-07 17:00:00,6823.47,,,
2019-01-07 17:30:00,6823.47,,,
2019-01-07 18:00:00,6823.47,,,
2019-01-07 18:30:00,6823.47,1,,
2019-01-07 19:00:00,6823.47,,,
2019-01-07 19:30:00,6823.47,,,
2019-01-07 20:00:00,6823.47,,1,
2019-01-07 20:30:00,6823.47,1,,
2019-01-08 10:00:00,6866.03,,,1
2019-01-08 10:30:00,6845.77,,,1
2019-01-08 11:00:00,6810.76,,,
2019-01-08 11:30:00,6832.37,,,
2019-01-08 12:00:00,6848.23,,,
2019-01-08 12:30:00,6868.38,,,1
2019-01-08 13:00:00,6853.93,,,
2019-01-08 13:30:00,6871.71,,,
2019-01-08 14:00:00,6885.7,,,1
2019-01-08 14:30:00,6882.71,,,1
