Date,Close,Lower Bound,Upper Bound,Middle Bound,sellSignal,buySignal
2017-04-21,1.2301923701502888,1.2160979265856475,1.2518095348433498,1.2339537307144988,0,0
2017-04-24,1.242038410074292,1.2160979265856475,1.2518095348433498,1.2339537307144988,0,0
2017-04-25,1.2497340668081107,1.2164436818699322,1.2518095348433498,1.234126608356641,0,0
2017-04-26,1.2423842991199385,1.2164436818699322,1.2518095348433498,1.234126608356641,0,0
2017-04-27,1.2433354226560729,1.2164436818699322,1.2518095348433498,1.234126608356641,0,0
2017-04-28,1.242124810996311,1.2164436818699322,1.2518095348433498,1.234126608356641,0,0
2017-05-01,1.2674602026732527,1.2164436818699322,1.2518095348433498,1.234126608356641,0,1
2017-05-02,1.2755020159754404,1.2164436818699322,1.2674602026732527,1.2419519422715926,0,1
2017-05-03,1.2716108533861603,1.2164436818699322,1.2755020159754404,1.2459728489226864,0,0
2017-05-04,1.2670279037881635,1.2164436818699322,1.2755020159754404,1.2459728489226864,0,0
2017-05-05,1.2880399677520975,1.2164436818699322,1.2755020159754404,1.2459728489226864,0,1
2017-05-08,1.323059664157146,1.2164436818699322,1.2880399677520975,1.2522418248110148,0,1
2017-05-09,1.331533642583061,1.2164436818699322,1.323059664157146,1.269751673013539,0,1
2017-05-10,1.325221533114404,1.2164436818699322,1.331533642583061,1.2739886622264966,0,0
2017-05-11,1.336682358152519,1.2164436818699322,1.331533642583061,1.2739886622264966,0,1
2017-05-12,1.3553500848274425,1.2164436818699322,1.336682358152519,1.2765630200112255,0,1
2017-05-15,1.3518771940151562,1.2164436818699322,1.3553500848274425,1.2858968833486872,0,0
2017-05-16,1.3498799674588926,1.2164436818699322,1.3553500848274425,1.2858968833486872,0,0
2017-05-17,1.3045569900847251,1.2164436818699322,1.3553500848274425,1.2858968833486872,0,0
2017-05-18,1.3244399476450897,1.2301923701502888,1.3553500848274425,1.2927712274888656,0,0
2017-05-19,1.3289548572972711,1.2301923701502888,1.3553500848274425,1.2927712274888656,0,0
2017-05-22,1.3370298790867738,1.242038410074292,1.3553500848274425,1.2986942474508671,0,0
2017-05-23,1.3353801734647652,1.242124810996311,1.3553500848274425,1.2987374479118767,0,0
2017-05-24,1.3313860057098086,1.242124810996311,1.3553500848274425,1.2987374479118767,0,0
2017-05-25,1.3359877264855171,1.242124810996311,1.3553500848274425,1.2987374479118767,0,0
2017-05-26,1.333730334081395,1.242124810996311,1.3553500848274425,1.2987374479118767,0,0
2017-05-30,1.334251343501343,1.2670279037881635,1.3553500848274425,1.311188994307803,0,0
2017-05-31,1.3263500866376794,1.2670279037881635,1.3553500848274425,1.311188994307803,0,0
2017-06-01,1.329996742375805,1.2670279037881635,1.3553500848274425,1.311188994307803,0,0
2017-06-02,1.3497063452118385,1.2670279037881635,1.3553500848274425,1.311188994307803,0,0
2017-06-05,1.336508735905465,1.2880399677520975,1.3553500848274425,1.32169502628977,0,0
2017-06-06,1.3410237793190076,1.3045569900847251,1.3553500848274425,1.3299535374560838,0,0
2017-06-07,1.349011847306198,1.3045569900847251,1.3553500848274425,1.3299535374560838,0,0
2017-06-08,1.3457124449796047,1.3045569900847251,1.3553500848274425,1.3299535374560838,0,0
2017-06-09,1.2935299531415225,1.3045569900847251,1.3553500848274425,1.3299535374560838,1,0
2017-06-12,1.2626202172432537,1.2935299531415225,1.3553500848274425,1.3244400189844825,1,0
2017-06-13,1.2727787327496776,1.2626202172432537,1.3518771940151562,1.3072487056292048,0,0
2017-06-14,1.260362566233833,1.2626202172432537,1.3498799674588926,1.3062500923510731,1,0
2017-06-15,1.2528085538642777,1.260362566233833,1.3497063452118385,1.3050344557228357,1,0
2017-06-16,1.2352702011156464,1.2528085538642777,1.3497063452118385,1.301257449538058,1,0
2017-06-19,1.2706081603865067,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-20,1.2590601140233564,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-21,1.266527172590599,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-22,1.2644435451123166,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-23,1.2700872847279203,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-26,1.266093116972964,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-27,1.2479465334793496,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-28,1.2661800618578523,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-29,1.2475123351829287,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-06-30,1.2504644930154138,1.2352702011156464,1.3497063452118385,1.2924882731637424,0,0
2017-07-03,1.2459495833632324,1.2352702011156464,1.349011847306198,1.2921410242109221,0,0
2017-07-05,1.2510721708801034,1.2352702011156464,1.349011847306198,1.2921410242109221,0,0
2017-07-06,1.2392639586690946,1.2352702011156464,1.349011847306198,1.2921410242109221,0,0
2017-07-07,1.251853622588056,1.2352702011156464,1.3457124449796047,1.2904913230476256,0,0
2017-07-10,1.259494303402353,1.2352702011156464,1.2935299531415225,1.2644000771285846,0,0
2017-07-11,1.2635751574368992,1.2352702011156464,1.2727787327496776,1.2540244669326621,0,0
2017-07-12,1.2653986190673236,1.2352702011156464,1.2727787327496776,1.2540244669326621,0,0
2017-07-13,1.2830241931409903,1.2352702011156464,1.2706081603865067,1.2529391807510766,0,1
2017-07-14,1.294050953644046,1.2352702011156464,1.2830241931409903,1.2591471971283184,0,1
2017-07-17,1.298565729534866,1.2352702011156464,1.294050953644046,1.2646605773798463,0,1
2017-07-18,1.3030810493885556,1.2392639586690946,1.298565729534866,1.2689148441019804,0,1
2017-07-19,1.3112424721000773,1.2392639586690946,1.3030810493885556,1.271172504028825,0,1
2017-07-20,1.3053384328752538,1.2392639586690946,1.3112424721000773,1.275253215384586,0,0
2017-07-21,1.304730888771926,1.2392639586690946,1.3112424721000773,1.275253215384586,0,0
2017-07-24,1.320532858536383,1.2392639586690946,1.3112424721000773,1.275253215384586,0,1
2017-07-25,1.3261765981519869,1.2392639586690946,1.320532858536383,1.2798984086027387,0,1
2017-07-26,1.3324282920724269,1.2392639586690946,1.3261765981519869,1.2827202784105407,0,1
2017-07-27,1.3072485718678437,1.2392639586690946,1.3324282920724269,1.2858461253707607,0,0
2017-07-28,1.2980449965550651,1.2392639586690946,1.3324282920724269,1.2858461253707607,0,0
2017-07-31,1.291359238099566,1.2392639586690946,1.3324282920724269,1.2858461253707607,0,0
2017-08-01,1.3028204733391893,1.2392639586690946,1.3324282920724269,1.2858461253707607,0,0
2017-08-02,1.3643799041318054,1.2392639586690946,1.3324282920724269,1.2858461253707607,0,1
2017-08-03,1.350748364051734,1.2392639586690946,1.3643799041318054,1.30182193140045,0,0
2017-08-04,1.3578679106021454,1.251853622588056,1.3643799041318054,1.3081167633599309,0,0
2017-08-07,1.3788799656486554,1.259494303402353,1.3643799041318054,1.3119371037670793,0,1
2017-08-08,1.3899067350691352,1.2635751574368992,1.3788799656486554,1.3212275615427773,0,1
2017-08-09,1.3984155449535507,1.2653986190673236,1.3899067350691352,1.3276526770682295,0,1
2017-08-10,1.3538734664070424,1.2830241931409903,1.3984155449535507,1.3407198690472706,0,0
2017-08-11,1.3727014748625794,1.291359238099566,1.3984155449535507,1.3448873915265582,0,0
2017-08-14,1.3933601680620546,1.291359238099566,1.3984155449535507,1.3448873915265582,0,0
2017-08-15,1.4086140551070232,1.291359238099566,1.3984155449535507,1.3448873915265582,0,1
2017-08-16,1.4029484142978514,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-17,1.3760139412154662,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-18,1.3728757837512884,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-21,1.3703480239661479,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-22,1.3927497614655935,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-23,1.3944930822057107,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-24,1.3883042472076892,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-25,1.3934469791855817,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-28,1.4074808734406443,1.291359238099566,1.4086140551070232,1.3499866466032946,0,0
2017-08-29,1.4200329771693343,1.3028204733391893,1.4086140551070232,1.3557172642231063,0,1
2017-08-30,1.4238684950322855,1.350748364051734,1.4200329771693343,1.3853906706105341,0,1
2017-08-31,1.4295341358414573,1.350748364051734,1.4238684950322855,1.3873084295420097,0,1
2017-09-01,1.4299699660264866,1.3538734664070424,1.4295341358414573,1.3917038011242497,0,1
2017-09-05,1.4127980480686075,1.3538734664070424,1.4299699660264866,1.3919217162167645,0,0
2017-09-06,1.4113163913035958,1.3538734664070424,1.4299699660264866,1.3919217162167645,0,0
2017-09-07,1.4056504740542775,1.3538734664070424,1.4299699660264866,1.3919217162167645,0,0
2017-09-08,1.3827256850447671,1.3538734664070424,1.4299699660264866,1.3919217162167645,0,0
2017-09-11,1.4077425374157502,1.3703480239661479,1.4299699660264866,1.4001589949963171,0,0
2017-09-12,1.4021636988126813,1.3703480239661479,1.4299699660264866,1.4001589949963171,0,0
2017-09-13,1.3916164460378533,1.3703480239661479,1.4299699660264866,1.4001589949963171,0,0
2017-09-14,1.3796747489056245,1.3703480239661479,1.4299699660264866,1.4001589949963171,0,0
2017-09-15,1.393621421835652,1.3703480239661479,1.4299699660264866,1.4001589949963171,0,0
2017-09-18,1.3830741601434,1.3703480239661479,1.4299699660264866,1.4001589949963171,0,0
2017-09-19,1.3835972116534645,1.3703480239661479,1.4299699660264866,1.4001589949963171,0,0
2017-09-20,1.3604110351089953,1.3796747489056245,1.4299699660264866,1.4048223574660557,1,0
2017-09-21,1.3370502910705186,1.3604110351089953,1.4299699660264866,1.395190500567741,1,0
2017-09-22,1.3239752695931255,1.3370502910705186,1.4299699660264866,1.3835101285485027,1,0
2017-09-25,1.3122948262344944,1.3239752695931255,1.4299699660264866,1.376972617809806,1,0
2017-09-26,1.3348710063840106,1.3122948262344944,1.4299699660264866,1.3711323961304904,0,0
2017-09-27,1.3443724414962805,1.3122948262344944,1.4299699660264866,1.3711323961304904,0,0
2017-09-28,1.336091543136786,1.3122948262344944,1.4299699660264866,1.3711323961304904,0,0
2017-09-29,1.3434132833610397,1.3122948262344944,1.4299699660264866,1.3711323961304904,0,0
2017-10-02,1.3407113662833996,1.3122948262344944,1.4299699660264866,1.3711323961304904,0,0
2017-10-03,1.3465513159812803,1.3122948262344944,1.4127980480686075,1.362546437151551,0,0
2017-10-04,1.337834730115542,1.3122948262344944,1.4113163913035958,1.361805608769045,0,0
2017-10-05,1.3544834628019953,1.3122948262344944,1.4077425374157502,1.3600186818251223,0,0
2017-10-06,1.353699023756972,1.3122948262344944,1.4077425374157502,1.3600186818251223,0,0
2017-10-09,1.3584060593111964,1.3122948262344944,1.4077425374157502,1.3600186818251223,0,0
2017-10-10,1.3589289770598998,1.3122948262344944,1.4021636988126813,1.357229262523588,0,0
2017-10-11,1.3645950280705794,1.3122948262344944,1.393621421835652,1.3529581240350732,0,0
2017-10-12,1.3598006285125344,1.3122948262344944,1.393621421835652,1.3529581240350732,0,0
